"年","月","日","都道府県","PCR検査陽性者数","PCR検査人数","患者数（2020年3月28日からは感染者数）","現在は入院等","退院者","死亡者"
2020,3,18,"静岡",3,0,3,2,1,0
2020,3,18,"愛知",130,847,123,106,3,14
2020,3,18,"三重",8,277,5,4,1,0
2020,3,18,"滋賀",4,140,4,4,0,0
2020,3,18,"京都",20,770,17,11,6,0
2020,3,18,"大阪",117,0,100,78,22,0
2020,3,18,"兵庫",90,1020,69,66,0,3
2020,3,18,"奈良",8,163,4,2,2,0
2020,3,18,"和歌山",15,1090,13,4,8,1
2020,3,18,"鳥取",0,110,0,0,0,0
2020,3,18,"島根",0,86,0,0,0,0
2020,3,18,"岡山",0,175,0,0,0,0
2020,3,18,"広島",1,521,1,0,1,0
2020,3,18,"山口",3,157,1,1,0,0
2020,3,18,"徳島",1,79,0,0,0,0
2020,3,18,"香川",1,122,1,1,0,0
2020,3,18,"愛媛",3,181,2,1,1,0
2020,3,18,"高知",12,267,11,5,6,0
2020,3,18,"福岡",4,610,4,3,1,0
2020,3,18,"佐賀",1,91,1,1,0,0
2020,3,18,"長崎",1,200,0,0,0,0
2020,3,18,"熊本",6,0,5,5,0,0
2020,3,18,"大分",1,163,1,0,1,0
2020,3,18,"宮崎",3,143,3,3,0,0
2020,3,18,"鹿児島",0,0,0,0,0,0
2020,3,18,"沖縄",3,230,3,1,2,0
2020,3,19,"北海道",157,1652,156,80,69,6
2020,3,19,"青森",0,79,0,0,0,0
2020,3,19,"岩手",0,29,0,0,0,0
2020,3,19,"宮城",1,144,1,0,1,0
2020,3,19,"秋田",2,114,1,0,1,0
2020,3,19,"山形",0,133,0,0,0,0
2020,3,19,"福島",2,132,2,2,0,0
2020,3,19,"茨城",3,464,3,3,0,0
2020,3,19,"栃木",3,263,3,1,1,0
2020,3,19,"群馬",10,173,10,10,0,0
2020,3,19,"埼玉",38,684,36,32,4,0
2020,3,19,"千葉",36,0,34,25,9,0
2020,3,19,"東京",118,1897,112,85,31,2
2020,3,19,"神奈川",64,0,57,47,6,4
2020,3,19,"新潟",21,647,17,16,1,0
2020,3,19,"富山",0,54,0,0,0,0
2020,3,19,"石川",7,171,5,3,2,0
2020,3,19,"福井",1,92,1,1,0,0
2020,3,19,"山梨",2,335,2,2,0,0
2020,3,19,"長野",4,306,3,3,0,0
2020,3,19,"岐阜",3,272,3,2,1,0
2020,3,19,"静岡",3,0,3,2,1,0
2020,3,19,"愛知",134,847,127,110,3,14
2020,3,19,"三重",9,318,6,5,1,0
2020,3,19,"滋賀",4,144,4,4,0,0
2020,3,19,"京都",20,800,17,11,6,0
2020,3,19,"大阪",119,0,102,79,22,1
2020,3,19,"兵庫",91,1108,69,64,1,4
2020,3,19,"奈良",8,176,4,2,2,0
