"week","pref","pop","count"
12,"02.Aomori-ken",12.63,0
12,"03.Iwate-ken",12.41,0
12,"04.Miyagi-ken",23.16,0
12,"05.Akita-ken",9.81,0
12,"06.Yamagata-ken",10.9,0
12,"07.Fukushima-ken",18.64,0
12,"08.Ibaraki-ken",28.77,4
12,"09.Tochigi-ken",19.46,2
12,"10.Gumma-ken",19.52,5
12,"11.Saitama-ken",73.3,19
12,"12.Chiba-ken",62.55,21
12,"13.Tokyo-to",138.22,47
12,"14.Kanagawa-ken",91.77,13
12,"15.Niigata-ken",22.46,10
12,"16.Toyama-ken",10.5,0
12,"17.Ishikawa-ken",11.43,1
12,"18.Fukui-ken",7.74,1
12,"19.Yamanashi-ken",8.17,0
12,"20.Nagano-ken",20.63,0
12,"21.Gifu-ken",19.97,5
12,"22.Shizuoka-ken",36.59,0
12,"23.Aichi-ken",75.37,18
12,"24.Mie-ken",17.91,1
12,"25.Shiga-ken",14.12,2
12,"26.Kyoto-fu",25.91,2
12,"27.Osaka-fu",88.13,24
12,"28.Hyogo-ken",54.84,41
12,"29.Nara-ken",13.39,2
12,"30.Wakayama-ken",9.35,2
12,"31.Tottori-ken",5.6,0
12,"32.Shimane-ken",6.8,0
12,"33.Okayama-ken",18.98,1
12,"34.Hiroshima-ken",28.17,2
12,"35.Yamaguchi-ken",13.7,1
12,"36.Tokushima-ken",7.36,0
12,"37.Kagawa-ken",9.62,0
12,"38.Ehime-ken",13.52,1
12,"39.Kochi-ken",7.06,0
12,"40.Fukuoka-ken",51.07,2
12,"41.Saga-ken",8.19,0
12,"42.Nagasaki-ken",13.41,0
12,"43.Kumamoto-ken",17.57,1
12,"44.Oita-ken",11.44,20
12,"45.Miyazaki-ken",10.81,2
12,"46.Kagoshima-ken",16.14,4
12,"47.Okinawa-ken",14.48,0
13,"01.Hokkaido",52.86,4
13,"02.Aomori-ken",12.63,5
13,"03.Iwate-ken",12.41,0
13,"04.Miyagi-ken",23.16,2
13,"05.Akita-ken",9.81,2
13,"06.Yamagata-ken",10.9,0
13,"07.Fukushima-ken",18.64,0
13,"08.Ibaraki-ken",28.77,10
13,"09.Tochigi-ken",19.46,6
13,"10.Gumma-ken",19.52,7
13,"11.Saitama-ken",73.3,33
13,"12.Chiba-ken",62.55,126
13,"13.Tokyo-to",138.22,274
13,"14.Kanagawa-ken",91.77,39
13,"15.Niigata-ken",22.46,2
13,"16.Toyama-ken",10.5,0
13,"17.Ishikawa-ken",11.43,1
13,"18.Fukui-ken",7.74,14
13,"19.Yamanashi-ken",8.17,3
13,"20.Nagano-ken",20.63,4
13,"21.Gifu-ken",19.97,14
13,"22.Shizuoka-ken",36.59,1
13,"23.Aichi-ken",75.37,21
13,"24.Mie-ken",17.91,1
13,"25.Shiga-ken",14.12,1
13,"26.Kyoto-fu",25.91,29
13,"27.Osaka-fu",88.13,75
13,"28.Hyogo-ken",54.84,20
13,"29.Nara-ken",13.39,5
13,"30.Wakayama-ken",9.35,0
13,"31.Tottori-ken",5.6,0
13,"32.Shimane-ken",6.8,0
13,"33.Okayama-ken",18.98,2
13,"34.Hiroshima-ken",28.17,3
13,"35.Yamaguchi-ken",13.7,2
13,"36.Tokushima-ken",7.36,0
13,"37.Kagawa-ken",9.62,0
13,"38.Ehime-ken",13.52,1
13,"39.Kochi-ken",7.06,1
13,"40.Fukuoka-ken",51.07,13
13,"41.Saga-ken",8.19,0
13,"42.Nagasaki-ken",13.41,1
13,"43.Kumamoto-ken",17.57,4
13,"44.Oita-ken",11.44,4
13,"45.Miyazaki-ken",10.81,0
13,"46.Kagoshima-ken",16.14,0
13,"47.Okinawa-ken",14.48,0
14,"01.Hokkaido",52.86,9
14,"02.Aomori-ken",12.63,2
14,"03.Iwate-ken",12.41,0
14,"04.Miyagi-ken",23.16,8
14,"05.Akita-ken",9.81,6
14,"06.Yamagata-ken",10.9,14
14,"07.Fukushima-ken",18.64,14
14,"08.Ibaraki-ken",28.77,13
14,"09.Tochigi-ken",19.46,2
14,"10.Gumma-ken",19.52,8
14,"11.Saitama-ken",73.3,101
14,"12.Chiba-ken",62.55,115
14,"13.Tokyo-to",138.22,621
14,"14.Kanagawa-ken",91.77,103
14,"15.Niigata-ken",22.46,3
14,"16.Toyama-ken",10.5,4
14,"17.Ishikawa-ken",11.43,12
14,"18.Fukui-ken",7.74,49
14,"19.Yamanashi-ken",8.17,5
14,"20.Nagano-ken",20.63,4
14,"21.Gifu-ken",19.97,17
14,"22.Shizuoka-ken",36.59,12
14,"23.Aichi-ken",75.37,53
14,"24.Mie-ken",17.91,3
14,"25.Shiga-ken",14.12,13
14,"26.Kyoto-fu",25.91,27
14,"27.Osaka-fu",88.13,190
14,"28.Hyogo-ken",54.84,76
14,"29.Nara-ken",13.39,31
14,"30.Wakayama-ken",9.35,12
14,"31.Tottori-ken",5.6,0
14,"32.Shimane-ken",6.8,0
14,"33.Okayama-ken",18.98,5
14,"34.Hiroshima-ken",28.17,9
14,"35.Yamaguchi-ken",13.7,6
14,"36.Tokushima-ken",7.36,2
14,"37.Kagawa-ken",9.62,0
14,"38.Ehime-ken",13.52,11
14,"39.Kochi-ken",7.06,0
14,"40.Fukuoka-ken",51.07,126
14,"41.Saga-ken",8.19,7
14,"42.Nagasaki-ken",13.41,4
14,"43.Kumamoto-ken",17.57,3
14,"44.Oita-ken",11.44,3
14,"45.Miyazaki-ken",10.81,7
14,"46.Kagoshima-ken",16.14,0
14,"47.Okinawa-ken",14.48,0
15,"01.Hokkaido",52.86,59
15,"02.Aomori-ken",12.63,10
15,"03.Iwate-ken",12.41,0
15,"04.Miyagi-ken",23.16,10
15,"05.Akita-ken",9.81,4
15,"06.Yamagata-ken",10.9,25
15,"07.Fukushima-ken",18.64,21
15,"08.Ibaraki-ken",28.77,37
15,"09.Tochigi-ken",19.46,13
15,"10.Gumma-ken",19.52,56
15,"11.Saitama-ken",73.3,222
15,"12.Chiba-ken",62.55,212
15,"13.Tokyo-to",138.22,1154
15,"14.Kanagawa-ken",91.77,179
15,"15.Niigata-ken",22.46,3
15,"16.Toyama-ken",10.5,10
15,"17.Ishikawa-ken",11.43,14
15,"18.Fukui-ken",7.74,35
15,"19.Yamanashi-ken",8.17,5
15,"20.Nagano-ken",20.63,17
15,"21.Gifu-ken",19.97,26
15,"22.Shizuoka-ken",36.59,20
15,"23.Aichi-ken",75.37,51
15,"24.Mie-ken",17.91,5
15,"25.Shiga-ken",14.12,0
15,"26.Kyoto-fu",25.91,5
15,"27.Osaka-fu",88.13,383
15,"28.Hyogo-ken",54.84,172
15,"29.Nara-ken",13.39,29
15,"30.Wakayama-ken",9.35,13
15,"31.Tottori-ken",5.6,0
15,"32.Shimane-ken",6.8,8
15,"33.Okayama-ken",18.98,4
15,"34.Hiroshima-ken",28.17,50
15,"35.Yamaguchi-ken",13.7,11
15,"36.Tokushima-ken",7.36,0
15,"37.Kagawa-ken",9.62,0
15,"38.Ehime-ken",13.52,7
15,"39.Kochi-ken",7.06,7
15,"40.Fukuoka-ken",51.07,146
15,"41.Saga-ken",8.19,4
15,"42.Nagasaki-ken",13.41,1
15,"43.Kumamoto-ken",17.57,6
15,"44.Oita-ken",11.44,2
15,"45.Miyazaki-ken",10.81,7
15,"46.Kagoshima-ken",16.14,1
15,"47.Okinawa-ken",14.48,0
16,"01.Hokkaido",52.86,64
16,"02.Aomori-ken",12.63,0
16,"03.Iwate-ken",12.41,0
16,"04.Miyagi-ken",23.16,6
16,"05.Akita-ken",9.81,1
16,"06.Yamagata-ken",10.9,23
16,"07.Fukushima-ken",18.64,24
16,"08.Ibaraki-ken",28.77,18
16,"09.Tochigi-ken",19.46,6
16,"10.Gumma-ken",19.52,31
16,"11.Saitama-ken",73.3,239
16,"12.Chiba-ken",62.55,219
16,"13.Tokyo-to",138.22,1104
16,"14.Kanagawa-ken",91.77,144
16,"15.Niigata-ken",22.46,11
16,"16.Toyama-ken",10.5,10
16,"17.Ishikawa-ken",11.43,54
16,"18.Fukui-ken",7.74,21
16,"19.Yamanashi-ken",8.17,10
16,"20.Nagano-ken",20.63,22
16,"21.Gifu-ken",19.97,23
16,"22.Shizuoka-ken",36.59,11
16,"23.Aichi-ken",75.37,19
16,"24.Mie-ken",17.91,14
16,"25.Shiga-ken",14.12,0
16,"26.Kyoto-fu",25.91,3
16,"27.Osaka-fu",88.13,392
16,"28.Hyogo-ken",54.84,134
16,"29.Nara-ken",13.39,42
16,"30.Wakayama-ken",9.35,6
16,"31.Tottori-ken",5.6,0
16,"32.Shimane-ken",6.8,5
16,"33.Okayama-ken",18.98,1
16,"34.Hiroshima-ken",28.17,67
16,"35.Yamaguchi-ken",13.7,7
16,"36.Tokushima-ken",7.36,0
16,"37.Kagawa-ken",9.62,0
16,"38.Ehime-ken",13.52,10
16,"39.Kochi-ken",7.06,5
16,"40.Fukuoka-ken",51.07,130
16,"41.Saga-ken",8.19,0
16,"42.Nagasaki-ken",13.41,1
16,"43.Kumamoto-ken",17.57,0
16,"44.Oita-ken",11.44,12
16,"45.Miyazaki-ken",10.81,0
16,"46.Kagoshima-ken",16.14,5
16,"47.Okinawa-ken",14.48,19
17,"01.Hokkaido",52.86,98
17,"02.Aomori-ken",12.63,0
17,"03.Iwate-ken",12.41,0
17,"04.Miyagi-ken",23.16,0
17,"05.Akita-ken",9.81,0
17,"06.Yamagata-ken",10.9,5
17,"07.Fukushima-ken",18.64,7
17,"08.Ibaraki-ken",28.77,16
17,"09.Tochigi-ken",19.46,3
17,"10.Gumma-ken",19.52,18
17,"11.Saitama-ken",73.3,146
17,"12.Chiba-ken",62.55,108
17,"13.Tokyo-to",138.22,719
17,"14.Kanagawa-ken",91.77,123
17,"15.Niigata-ken",22.46,10
17,"16.Toyama-ken",10.5,9
17,"17.Ishikawa-ken",11.43,40
17,"18.Fukui-ken",7.74,9
17,"19.Yamanashi-ken",8.17,3
17,"20.Nagano-ken",20.63,14
17,"21.Gifu-ken",19.97,9
17,"22.Shizuoka-ken",36.59,9
17,"23.Aichi-ken",75.37,23
17,"24.Mie-ken",17.91,7
17,"25.Shiga-ken",14.12,17
17,"26.Kyoto-fu",25.91,10
17,"27.Osaka-fu",88.13,278
17,"28.Hyogo-ken",54.84,111
17,"29.Nara-ken",13.39,35
17,"30.Wakayama-ken",9.35,6
17,"31.Tottori-ken",5.6,0
17,"32.Shimane-ken",6.8,6
17,"33.Okayama-ken",18.98,3
17,"34.Hiroshima-ken",28.17,11
17,"35.Yamaguchi-ken",13.7,1
17,"36.Tokushima-ken",7.36,2
17,"37.Kagawa-ken",9.62,0
17,"38.Ehime-ken",13.52,2
17,"39.Kochi-ken",7.06,2
17,"40.Fukuoka-ken",51.07,77
17,"41.Saga-ken",8.19,20
17,"42.Nagasaki-ken",13.41,0
17,"43.Kumamoto-ken",17.57,0
17,"44.Oita-ken",11.44,6
17,"45.Miyazaki-ken",10.81,0
17,"46.Kagoshima-ken",16.14,2
17,"47.Okinawa-ken",14.48,0
18,"01.Hokkaido",52.86,54
18,"02.Aomori-ken",12.63,4
18,"03.Iwate-ken",12.41,0
18,"04.Miyagi-ken",23.16,2
18,"05.Akita-ken",9.81,0
18,"06.Yamagata-ken",10.9,2
18,"07.Fukushima-ken",18.64,9
18,"08.Ibaraki-ken",28.77,5
18,"09.Tochigi-ken",19.46,0
18,"10.Gumma-ken",19.52,5
18,"11.Saitama-ken",73.3,75
18,"12.Chiba-ken",62.55,48
18,"13.Tokyo-to",138.22,523
18,"14.Kanagawa-ken",91.77,107
18,"15.Niigata-ken",22.46,7
18,"16.Toyama-ken",10.5,14
18,"17.Ishikawa-ken",11.43,30
18,"18.Fukui-ken",7.74,0
18,"19.Yamanashi-ken",8.17,2
18,"20.Nagano-ken",20.63,4
18,"21.Gifu-ken",19.97,1
18,"22.Shizuoka-ken",36.59,10
18,"23.Aichi-ken",75.37,7
18,"24.Mie-ken",17.91,0
18,"25.Shiga-ken",14.12,2
18,"26.Kyoto-fu",25.91,29
18,"27.Osaka-fu",88.13,158
18,"28.Hyogo-ken",54.84,40
18,"29.Nara-ken",13.39,20
18,"30.Wakayama-ken",9.35,1
18,"31.Tottori-ken",5.6,0
18,"32.Shimane-ken",6.8,2
18,"33.Okayama-ken",18.98,1
18,"34.Hiroshima-ken",28.17,14
18,"35.Yamaguchi-ken",13.7,3
18,"36.Tokushima-ken",7.36,0
18,"37.Kagawa-ken",9.62,0
18,"38.Ehime-ken",13.52,0
18,"39.Kochi-ken",7.06,1
18,"40.Fukuoka-ken",51.07,33
18,"41.Saga-ken",8.19,5
18,"42.Nagasaki-ken",13.41,0
18,"43.Kumamoto-ken",17.57,0
18,"44.Oita-ken",11.44,0
18,"45.Miyazaki-ken",10.81,0
18,"46.Kagoshima-ken",16.14,0
18,"47.Okinawa-ken",14.48,0
19,"01.Hokkaido",52.86,27
19,"02.Aomori-ken",12.63,1
19,"03.Iwate-ken",12.41,0
19,"04.Miyagi-ken",23.16,0
19,"05.Akita-ken",9.81,0
19,"06.Yamagata-ken",10.9,1
19,"07.Fukushima-ken",18.64,3
19,"08.Ibaraki-ken",28.77,1
19,"09.Tochigi-ken",19.46,2
19,"10.Gumma-ken",19.52,1
19,"11.Saitama-ken",73.3,66
19,"12.Chiba-ken",62.55,19
19,"13.Tokyo-to",138.22,201
19,"14.Kanagawa-ken",91.77,48
19,"15.Niigata-ken",22.46,4
19,"16.Toyama-ken",10.5,2
19,"17.Ishikawa-ken",11.43,6
19,"18.Fukui-ken",7.74,1
19,"19.Yamanashi-ken",8.17,0
19,"20.Nagano-ken",20.63,5
19,"21.Gifu-ken",19.97,0
19,"22.Shizuoka-ken",36.59,0
19,"23.Aichi-ken",75.37,3
19,"24.Mie-ken",17.91,0
19,"25.Shiga-ken",14.12,1
19,"26.Kyoto-fu",25.91,1
19,"27.Osaka-fu",88.13,61
19,"28.Hyogo-ken",54.84,25
19,"29.Nara-ken",13.39,18
19,"30.Wakayama-ken",9.35,0
19,"31.Tottori-ken",5.6,0
19,"32.Shimane-ken",6.8,0
19,"33.Okayama-ken",18.98,1
19,"34.Hiroshima-ken",28.17,0
19,"35.Yamaguchi-ken",13.7,2
19,"36.Tokushima-ken",7.36,0
19,"37.Kagawa-ken",9.62,0
19,"38.Ehime-ken",13.52,0
19,"39.Kochi-ken",7.06,0
19,"40.Fukuoka-ken",51.07,6
19,"41.Saga-ken",8.19,1
19,"42.Nagasaki-ken",13.41,0
19,"43.Kumamoto-ken",17.57,0
19,"44.Oita-ken",11.44,0
19,"45.Miyazaki-ken",10.81,0
19,"46.Kagoshima-ken",16.14,0
19,"47.Okinawa-ken",14.48,0
20,"01.Hokkaido",52.86,18
20,"02.Aomori-ken",12.63,0
20,"03.Iwate-ken",12.41,0
20,"04.Miyagi-ken",23.16,0
20,"05.Akita-ken",9.81,0
20,"06.Yamagata-ken",10.9,0
20,"07.Fukushima-ken",18.64,0
20,"08.Ibaraki-ken",28.77,0
20,"09.Tochigi-ken",19.46,4
20,"10.Gumma-ken",19.52,0
20,"11.Saitama-ken",73.3,20
20,"12.Chiba-ken",62.55,18
20,"13.Tokyo-to",138.22,75
20,"14.Kanagawa-ken",91.77,25
20,"15.Niigata-ken",22.46,1
20,"16.Toyama-ken",10.5,4
20,"17.Ishikawa-ken",11.43,7
20,"18.Fukui-ken",7.74,0
20,"19.Yamanashi-ken",8.17,2
20,"20.Nagano-ken",20.63,1
20,"21.Gifu-ken",19.97,0
20,"22.Shizuoka-ken",36.59,0
20,"23.Aichi-ken",75.37,3
20,"24.Mie-ken",17.91,0
20,"25.Shiga-ken",14.12,2
20,"26.Kyoto-fu",25.91,0
20,"27.Osaka-fu",88.13,24
20,"28.Hyogo-ken",54.84,7
20,"29.Nara-ken",13.39,11
20,"30.Wakayama-ken",9.35,1
20,"31.Tottori-ken",5.6,0
20,"32.Shimane-ken",6.8,0
20,"33.Okayama-ken",18.98,1
20,"34.Hiroshima-ken",28.17,0
