"year","month","date","pref","testedPositive","peopleTested","hospitalized","serious","discharged","deaths"
2020,3,12,"佐賀",0,50,0,0,0,0
2020,3,12,"長崎",0,140,0,0,0,0
2020,3,12,"熊本",6,0,0,0,0,0
2020,3,12,"大分",1,138,0,0,0,0
2020,3,12,"宮崎",1,97,0,0,0,0
2020,3,12,"鹿児島",0,0,0,0,0,0
2020,3,12,"沖縄",3,196,0,0,0,0
2020,3,13,"北海道",136,1322,0,0,0,0
2020,3,13,"青森",0,70,0,0,0,0
2020,3,13,"岩手",0,22,0,0,0,0
2020,3,13,"宮城",1,109,0,0,0,0
2020,3,13,"秋田",2,94,0,0,0,0
2020,3,13,"山形",0,110,0,0,0,0
2020,3,13,"福島",1,107,0,0,0,0
2020,3,13,"茨城",0,389,0,0,0,0
2020,3,13,"栃木",2,201,0,0,0,0
2020,3,13,"群馬",3,115,0,0,0,0
2020,3,13,"埼玉",21,440,0,0,0,0
2020,3,13,"千葉",29,0,0,0,0,0
2020,3,13,"東京",77,1543,77,8,0,0
2020,3,13,"神奈川",51,0,0,0,0,0
2020,3,13,"新潟",14,0,0,0,0,0
2020,3,13,"富山",0,49,0,0,0,0
2020,3,13,"石川",7,146,0,0,0,0
2020,3,13,"福井",0,74,0,0,0,0
2020,3,13,"山梨",2,267,0,0,0,0
2020,3,13,"長野",3,255,0,0,0,0
2020,3,13,"岐阜",2,227,0,0,0,0
2020,3,13,"静岡",3,0,0,0,0,0
2020,3,13,"愛知",114,1103,0,0,0,0
2020,3,13,"三重",7,198,0,0,0,0
2020,3,13,"滋賀",1,99,0,0,0,0
2020,3,13,"京都",17,628,0,0,0,0
2020,3,13,"大阪",92,0,0,0,0,0
2020,3,13,"兵庫",56,581,0,0,0,0
2020,3,13,"奈良",8,131,0,0,0,0
2020,3,13,"和歌山",14,1008,0,0,0,0
2020,3,13,"鳥取",0,93,0,0,0,0
2020,3,13,"島根",0,80,0,0,0,0
2020,3,13,"岡山",0,141,0,0,0,0
2020,3,13,"広島",1,423,0,0,0,0
2020,3,13,"山口",3,128,0,0,0,0
2020,3,13,"徳島",1,70,0,0,0,0
2020,3,13,"香川",0,98,0,0,0,0
2020,3,13,"愛媛",2,161,0,0,0,0
2020,3,13,"高知",12,229,0,0,0,0
2020,3,13,"福岡",3,522,0,0,0,0
2020,3,13,"佐賀",1,52,0,0,0,0
2020,3,13,"長崎",0,150,0,0,0,0
2020,3,13,"熊本",6,0,0,0,0,0
2020,3,13,"大分",1,148,0,0,0,0
2020,3,13,"宮崎",1,113,0,0,0,0
2020,3,13,"鹿児島",0,0,0,0,0,0
2020,3,13,"沖縄",3,198,0,0,0,0
2020,3,14,"北海道",142,1322,0,0,0,0
2020,3,14,"青森",0,70,0,0,0,0
2020,3,14,"岩手",0,22,0,0,0,0
2020,3,14,"宮城",1,109,0,0,0,0
2020,3,14,"秋田",2,94,0,0,0,0
2020,3,14,"山形",0,110,0,0,0,0
2020,3,14,"福島",2,107,0,0,0,0
2020,3,14,"茨城",0,389,0,0,0,0
2020,3,14,"栃木",2,201,0,0,0,0
2020,3,14,"群馬",5,115,0,0,0,0
2020,3,14,"埼玉",28,440,0,0,0,0
2020,3,14,"千葉",31,0,0,0,0,0
2020,3,14,"東京",87,1614,87,8,0,0
2020,3,14,"神奈川",51,0,0,0,0,0
2020,3,14,"新潟",14,0,0,0,0,0
2020,3,14,"富山",0,49,0,0,0,0
2020,3,14,"石川",7,146,0,0,0,0
2020,3,14,"福井",0,74,0,0,0,0
2020,3,14,"山梨",2,267,0,0,0,0
2020,3,14,"長野",4,255,0,0,0,0
2020,3,14,"岐阜",2,227,0,0,0,0
2020,3,14,"静岡",3,0,0,0,0,0
2020,3,14,"愛知",121,1103,0,0,0,0
2020,3,14,"三重",8,198,0,0,0,0
2020,3,14,"滋賀",1,99,0,0,0,0
2020,3,14,"京都",17,628,0,0,0,0
2020,3,14,"大阪",102,0,0,0,0,0
2020,3,14,"兵庫",60,581,0,0,0,0
2020,3,14,"奈良",8,131,0,0,0,0
2020,3,14,"和歌山",14,1008,0,0,0,0
2020,3,14,"鳥取",0,93,0,0,0,0
2020,3,14,"島根",0,80,0,0,0,0
2020,3,14,"岡山",0,141,0,0,0,0
2020,3,14,"広島",1,423,0,0,0,0
2020,3,14,"山口",3,128,0,0,0,0
2020,3,14,"徳島",1,70,0,0,0,0
2020,3,14,"香川",0,98,0,0,0,0
2020,3,14,"愛媛",2,161,0,0,0,0
2020,3,14,"高知",12,229,0,0,0,0
2020,3,14,"福岡",3,522,0,0,0,0
2020,3,14,"佐賀",1,52,0,0,0,0
2020,3,14,"長崎",1,150,0,0,0,0
2020,3,14,"熊本",6,0,0,0,0,0
2020,3,14,"大分",1,148,0,0,0,0
2020,3,14,"宮崎",1,113,0,0,0,0
2020,3,14,"鹿児島",0,0,0,0,0,0
2020,3,14,"沖縄",3,198,0,0,0,0
2020,3,15,"北海道",148,1322,0,0,0,0
2020,3,15,"青森",0,70,0,0,0,0
2020,3,15,"岩手",0,22,0,0,0,0
2020,3,15,"宮城",1,109,0,0,0,0
2020,3,15,"秋田",2,94,0,0,0,0
2020,3,15,"山形",0,110,0,0,0,0
2020,3,15,"福島",2,107,0,0,0,0
2020,3,15,"茨城",0,389,0,0,0,0
2020,3,15,"栃木",2,201,0,0,0,0
2020,3,15,"群馬",5,115,0,0,0,0
2020,3,15,"埼玉",28,440,0,0,0,0
2020,3,15,"千葉",31,0,0,0,0,0
2020,3,15,"東京",90,1614,90,8,0,0
2020,3,15,"神奈川",57,0,0,0,0,0
2020,3,15,"新潟",14,0,0,0,0,0
2020,3,15,"富山",0,49,0,0,0,0
2020,3,15,"石川",7,146,0,0,0,0
2020,3,15,"福井",0,74,0,0,0,0
2020,3,15,"山梨",2,267,0,0,0,0
2020,3,15,"長野",4,255,0,0,0,0
2020,3,15,"岐阜",2,227,0,0,0,0
2020,3,15,"静岡",3,0,0,0,0,0
2020,3,15,"愛知",121,1103,0,0,0,0
2020,3,15,"三重",8,198,0,0,0,0
2020,3,15,"滋賀",2,99,0,0,0,0
2020,3,15,"京都",17,628,0,0,0,0
2020,3,15,"大阪",106,0,0,0,0,0
2020,3,15,"兵庫",62,581,0,0,0,0
2020,3,15,"奈良",8,131,0,0,0,0
2020,3,15,"和歌山",15,1008,0,0,0,0
2020,3,15,"鳥取",0,93,0,0,0,0
2020,3,15,"島根",0,80,0,0,0,0
2020,3,15,"岡山",0,141,0,0,0,0
2020,3,15,"広島",1,423,0,0,0,0
2020,3,15,"山口",3,128,0,0,0,0
2020,3,15,"徳島",1,70,0,0,0,0
2020,3,15,"香川",0,98,0,0,0,0
2020,3,15,"愛媛",2,161,0,0,0,0
2020,3,15,"高知",12,229,0,0,0,0
2020,3,15,"福岡",3,522,0,0,0,0
2020,3,15,"佐賀",1,52,0,0,0,0
2020,3,15,"長崎",1,150,0,0,0,0
2020,3,15,"熊本",6,0,0,0,0,0
2020,3,15,"大分",1,148,0,0,0,0
2020,3,15,"宮崎",1,113,0,0,0,0
2020,3,15,"鹿児島",0,0,0,0,0,0
2020,3,15,"沖縄",3,198,0,0,0,0
2020,3,16,"北海道",152,1462,0,0,0,0
2020,3,16,"青森",0,72,0,0,0,0
2020,3,16,"岩手",0,24,0,0,0,0
2020,3,16,"宮城",1,129,0,0,0,0
2020,3,16,"秋田",2,103,0,0,0,0
2020,3,16,"山形",0,112,0,0,0,0
2020,3,16,"福島",2,116,0,0,0,0
2020,3,16,"茨城",0,419,0,0,0,0
2020,3,16,"栃木",2,221,0,0,0,0
2020,3,16,"群馬",6,115,0,0,0,0
2020,3,16,"埼玉",28,584,0,0,0,0
2020,3,16,"千葉",31,0,0,0,0,0
2020,3,16,"東京",90,1633,90,8,0,0
2020,3,16,"神奈川",57,0,0,0,0,0
2020,3,16,"新潟",14,0,0,0,0,0
2020,3,16,"富山",0,49,0,0,0,0
2020,3,16,"石川",7,156,0,0,0,0
2020,3,16,"福井",0,79,0,0,0,0
2020,3,16,"山梨",2,294,0,0,0,0
2020,3,16,"長野",4,280,0,0,0,0
2020,3,16,"岐阜",2,249,0,0,0,0
2020,3,16,"静岡",3,0,0,0,0,0
2020,3,16,"愛知",123,1103,0,0,0,0
2020,3,16,"三重",8,257,0,0,0,0
2020,3,16,"滋賀",3,107,0,0,0,0
2020,3,16,"京都",17,741,0,0,0,0
2020,3,16,"大阪",108,0,0,0,0,0
2020,3,16,"兵庫",81,874,0,0,0,0
2020,3,16,"奈良",8,143,0,0,0,0
2020,3,16,"和歌山",15,1040,0,0,0,0
2020,3,16,"鳥取",0,95,0,0,0,0
2020,3,16,"島根",0,82,0,0,0,0
2020,3,16,"岡山",0,160,0,0,0,0
2020,3,16,"広島",1,463,0,0,0,0
2020,3,16,"山口",3,138,0,0,0,0
2020,3,16,"徳島",1,73,0,0,0,0
2020,3,16,"香川",0,102,0,0,0,0
2020,3,16,"愛媛",2,166,0,0,0,0
2020,3,16,"高知",12,246,0,0,0,0
2020,3,16,"福岡",3,578,0,0,0,0
2020,3,16,"佐賀",1,82,0,0,0,0
2020,3,16,"長崎",1,173,0,0,0,0
2020,3,16,"熊本",6,393,0,0,0,0
2020,3,16,"大分",1,153,0,0,0,0
2020,3,16,"宮崎",1,114,0,0,0,0
2020,3,16,"鹿児島",0,0,0,0,0,0
2020,3,16,"沖縄",3,210,0,0,0,0
2020,3,17,"北海道",152,1515,0,0,0,0
2020,3,17,"青森",0,74,0,0,0,0
2020,3,17,"岩手",0,24,0,0,0,0
2020,3,17,"宮城",1,129,0,0,0,0
2020,3,17,"秋田",2,108,0,0,0,0
2020,3,17,"山形",0,120,0,0,0,0
2020,3,17,"福島",2,117,0,0,0,0
2020,3,17,"茨城",1,436,0,0,0,0
2020,3,17,"栃木",2,227,0,0,0,0
2020,3,17,"群馬",10,115,0,0,0,0
2020,3,17,"埼玉",33,614,0,0,0,0
2020,3,17,"千葉",31,0,0,0,0,0
2020,3,17,"東京",102,1704,102,8,0,0
2020,3,17,"神奈川",61,0,0,0,0,0
2020,3,17,"新潟",20,0,0,0,0,0
2020,3,17,"富山",0,51,0,0,0,0
2020,3,17,"石川",7,162,0,0,0,0
2020,3,17,"福井",0,84,0,0,0,0
2020,3,17,"山梨",2,315,0,0,0,0
2020,3,17,"長野",4,284,0,0,0,0
2020,3,17,"岐阜",2,270,0,0,0,0
2020,3,17,"静岡",3,0,0,0,0,0
2020,3,17,"愛知",125,1103,0,0,0,0
